time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-02-10 11:33:59.975 UTC, ,589,4704981,5024,1556984,1680, ,52, , , , , , , , , , , ,52,17, , , ,2,1,14, , , , , , , , , , , , , , , , ,128169,2, ,106506, , , , ,2076087,34050486272,76,76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2076087, ,1581333959903, , , , ,3145728,2076057, , , ,15, ,15, , , , , ,3,1, , , , ,1, , , , , , , , , , , , , , , , , , ,154643840,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:34:59.976 UTC, ,589,4704981,5024,1556984,1680, ,52, , , , , , , , , , , ,52,17, , , ,2,1,14, , , , , , , , , , , , , , , , ,128169,2, ,106506, , , , ,2076087,34059399168,76,76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2076087, ,1581333959903, , , , ,3145728,2076057, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,207072640,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:35:59.976 UTC, ,589,4744269,5024,1596160,1792, ,53, ,1362,1,0.00, , , , , , , ,53,18, , , ,2,1,15, ,1521,46, , , , , , , , , , , , , ,128169,2, ,106506, , , , ,2076087,34047582208,76,76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2076087, ,1581333959903, , , , ,3145728,2076057, , ,48,0, , , , , , , ,3, , , , ,48,1,614,1, , , ,1,41882,48, , , , , , , , ,21,59,137366416,2, , , , , , ,1532, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,174,1345,3, , , , , , , 
2020-02-10 11:36:59.978 UTC, ,1029,4750325,5256,1601664,1904, ,54, ,2575, , , , , , , , , ,54,19, , , ,2,1,17, ,2891, , , , , , , , , , , , , , ,128169,2, ,106506, , , , ,2078829,34046861312,77,77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2078829, ,1581333959903, , , , ,3145728,2078799, , , ,22,2,68,2, ,2, , ,3,5, , , , ,1, , ,2079,1, , , , ,663,2, , , , , , ,16,29,121846304,2, , , , , , ,2882, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5, ,313,2521,9,1, , , , , , 
2020-02-10 11:37:59.980 UTC, ,1029,4750325,5256,1601664,1904, ,54, , , , , , , , , , , ,54,19, , , ,2,1,17, , , , , , , , , , , , , , , , ,128169,2, ,106506, , , , ,2078829,34050879488,77,77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2078829, ,1581333959903, , , , ,3145728,2078799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,142817824,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:38:59.979 UTC, ,1029,4750325,5256,1601664,1904, ,54, ,1, , , , , , , , , ,54,19, , , ,2,1,17, ,1, , , , , , , , , , , , , , ,128169,2, ,106506, , , , ,2078829,34050351104,77,77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2078829, ,1581333959903, , , , ,3145728,2078799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,165886496,3, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , 
2020-02-10 11:39:59.980 UTC, ,1029,4750325,5256,1601664,1904, ,54, ,15, , , , , , , , , ,54,19, , , ,2,1,17, ,245, , , , , , , , , , , , , , ,128169,2, ,106506, , , , ,2078829,34045214720,77,77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2078829, ,1581333959903, , , , ,3145728,2078799, , , ,17, ,34, , , , , ,3,2, , , , ,1, , , , , , , , , , , , , , , , , , ,203635232,2, , , , , , ,246, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,236,9, , , , , , , , 
2020-02-10 11:40:59.980 UTC, ,1029,4750325,5256,1601664,1904, ,54, , , , , , , , , , , ,54,19, , , ,2,1,17, , , , , , , , , , , , , , , , ,128169,2, ,106506, , , , ,2078829,34044309504,77,77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2078829, ,1581333959903, , , , ,3145728,2078799, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,2,126371560,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:41:59.983 UTC, ,1029,4750325,5256,1601664,1904, ,54, ,523, , , , , , , , , ,54,19, , , ,2,1,17, ,688, , , , , , , , , , , , , , ,128169,2, ,106506, , , , ,2078829,34043867136,77,77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2078829, ,1581333959903, , , , ,3145728,2078799, , , ,13, ,13, , , , , ,3,1, , , , ,1, , , , , , , , , , , , , , , , ,1,2,111693464,1, , , , , , ,689, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,169,519, , , , , , , , 
2020-02-10 11:42:59.986 UTC, ,1029,4750325,5256,1601664,1904, ,54, , , , , , , , , , , ,54,19, , , ,2,1,17, , , , , , , , , , , , , , , , ,128169,2, ,106506, , , , ,2078829,34043375616,77,77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2078829, ,1581333959903, , , , ,3145728,2078799, , , ,16, ,16, , , , , ,3,1, , , , ,1, , , , , , , , , , , , , , , , ,7,24,183821656,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
