time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2020-02-10 11:33:59.919 UTC, ,125,3172797,1184,26832,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,6, , , , , , , , , , , , , , , , ,13526,2, ,11120, , , , ,14098,34050486272,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14098, ,1581333959846, , , , ,3145728,14071, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,154643840,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:34:59.922 UTC, ,125,3172797,1184,26832,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,6, , , , , , , , , , , , , , , , ,13526,2, ,11120, , , , ,14098,34059399168,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14098, ,1581333959846, , , , ,3145728,14071, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,207072640,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:35:59.922 UTC, ,125,3172797,1184,26832,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,6, , , , , , , , , , , , , , , , ,13526,2, ,11120, , , , ,14098,34047582208,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14098, ,1581333959846, , , , ,3145728,14071, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,21,59,137366416,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:36:59.921 UTC, ,125,3173957,1184,27992,112, ,4, ,5, , , , , , , , , ,4,4, , , ,3,1,6, , , , , , , , , , , , , , , , ,13526,2, ,11120, , , , ,14553,34046861312,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14553, ,1581333959846, , , , ,3145728,14526, , , ,13,1,26,1, ,1, , ,3,2, , , , ,1, , , , , , , , ,455,1, , , , , , ,16,29,121846304,2, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,1,1, , , , , , 
2020-02-10 11:37:59.923 UTC, ,125,3173957,1184,27992,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,6, , , , , , , , , , , , , , , , ,13526,2, ,11120, , , , ,14553,34050879488,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14553, ,1581333959846, , , , ,3145728,14526, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,142817824,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:38:59.922 UTC, ,125,3173957,1184,27992,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,6, , , , , , , , , , , , , , , , ,13526,2, ,11120, , , , ,14553,34050351104,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14553, ,1581333959846, , , , ,3145728,14526, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,164837920,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:39:59.924 UTC, ,125,3173957,1184,27992,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,6, , , , , , , , , , , , , , , , ,13526,2, ,11120, , , , ,14553,34045214720,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14553, ,1581333959846, , , , ,3145728,14526, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,203635232,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:40:59.928 UTC, ,125,3173957,1184,27992,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,6, , , , , , , , , , , , , , , , ,13526,2, ,11120, , , , ,14553,34044309504,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14553, ,1581333959846, , , , ,3145728,14526, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,2,126371560,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:41:59.927 UTC, ,125,3173957,1184,27992,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,6, , , , , , , , , , , , , , , , ,13526,2, ,11120, , , , ,14553,34043867136,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14553, ,1581333959846, , , , ,3145728,14526, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,2,111693464,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-02-10 11:42:59.930 UTC, ,125,3173957,1184,27992,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,6, , , , , , , , , , , , , , , , ,13526,2, ,11120, , , , ,14553,34043375616,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14553, ,1581333959846, , , , ,3145728,14526, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,7,24,183821656,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
